Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,176.029999,176.910004,169.550003,173.460007,171.918533,1992700
2017-11-07,173.429993,174.460007,168.860001,170.100006,168.588394,1801500
2017-11-08,169.770004,170.470001,167.270004,168.710007,167.210739,1461900
2017-11-09,168.600006,173.279999,166.740005,173.210007,171.670746,1332000
2017-11-10,173.720001,176.210007,172.050003,173.330002,171.789673,1165600
2017-11-13,173.270004,175.300003,171.550003,173.029999,171.492355,672400
2017-11-14,172.960007,177.220001,172.929993,175.660004,174.098984,923800
2017-11-15,175.500000,176.729996,173.660004,175.759995,174.198074,957800
2017-11-16,177.320007,179.940002,176.089996,177.470001,175.892899,1077000
2017-11-17,176.830002,179.000000,176.619995,178.649994,177.062393,1133900
2017-11-20,178.699997,179.009995,176.399994,177.770004,176.190231,881300
2017-11-21,177.649994,178.630005,176.330002,176.880005,175.308136,712100
2017-11-22,175.610001,177.160004,175.000000,176.550003,174.981079,765700
2017-11-24,177.300003,177.639999,176.050003,177.339996,175.764038,306800
2017-11-27,177.020004,177.399994,173.630005,174.520004,172.969101,893600
2017-11-28,171.309998,172.559998,168.559998,172.289993,170.758911,1874700
2017-11-29,176.270004,184.389999,175.949997,179.169998,177.577789,1651900
2017-11-30,180.660004,186.940002,178.889999,186.160004,184.505676,1317000
2017-12-01,185.779999,185.979996,179.289993,184.619995,182.979340,1491800
2017-12-04,185.949997,189.830002,183.899994,187.619995,185.952682,1341200
2017-12-05,187.949997,189.710007,185.429993,185.500000,183.851532,707100
2017-12-06,184.509995,185.919998,180.979996,181.169998,179.559998,636100
2017-12-07,181.050003,181.589996,178.720001,179.509995,177.914749,918700
2017-12-08,179.289993,184.070007,177.240005,183.910004,182.275665,1486400
2017-12-11,183.220001,183.220001,179.360001,180.960007,179.351883,1029000
2017-12-12,179.800003,180.960007,178.149994,180.610001,179.004990,669300
2017-12-13,180.380005,182.979996,178.889999,180.509995,178.905869,636700
2017-12-14,180.130005,184.380005,179.470001,182.520004,181.360184,1401700
2017-12-15,182.389999,185.710007,181.240005,185.039993,183.864151,1287000
2017-12-18,185.899994,188.839996,185.750000,186.000000,184.818069,1627800
2017-12-19,187.250000,188.500000,186.270004,187.059998,185.871323,636500
2017-12-20,187.600006,187.919998,182.839996,183.619995,182.453171,843600
2017-12-21,183.589996,188.970001,182.750000,188.389999,187.192886,880600
2017-12-22,190.000000,193.020004,187.800003,192.869995,191.644424,844300
2017-12-26,192.199997,192.809998,189.960007,190.369995,189.160294,622700
2017-12-27,190.000000,191.970001,189.149994,190.570007,189.359039,441400
2017-12-28,190.800003,190.800003,189.309998,189.979996,188.772766,432000
2017-12-29,190.179993,190.380005,188.509995,188.960007,187.759277,1015400
2018-01-02,188.520004,188.979996,186.899994,186.940002,185.752090,925700
2018-01-03,187.649994,191.820007,187.580002,191.660004,190.442093,646400
2018-01-04,197.250000,202.270004,197.009995,197.289993,196.036316,1539500
2018-01-05,198.210007,201.970001,197.729996,200.300003,199.027206,1158500
2018-01-08,200.139999,203.740005,198.679993,203.610001,202.316162,1068300
2018-01-09,204.479996,207.520004,203.130005,206.710007,205.396469,1159000
2018-01-10,198.500000,201.199997,196.179993,200.089996,198.818527,2404800
2018-01-11,201.039993,209.919998,201.039993,209.850006,208.516510,1465000
2018-01-12,209.500000,212.789993,209.210007,211.149994,209.808243,1015000
2018-01-16,213.949997,213.949997,208.789993,209.289993,207.960068,1104400
2018-01-17,209.289993,209.699997,207.289993,207.889999,206.568970,836400
2018-01-18,208.000000,210.990005,207.509995,210.910004,209.569778,769300
2018-01-19,211.470001,214.970001,211.250000,213.539993,212.183060,615600
2018-01-22,213.470001,216.289993,211.880005,216.289993,214.915588,839600
2018-01-23,216.289993,221.649994,215.979996,219.570007,218.174744,1145400
2018-01-24,220.050003,220.699997,217.520004,218.720001,217.330154,835900
2018-01-25,220.899994,221.919998,218.899994,219.330002,217.936279,762300
2018-01-26,219.330002,219.639999,215.250000,216.779999,215.402466,765800
2018-01-29,215.699997,218.669998,214.550003,215.330002,213.961685,705200
2018-01-30,214.020004,216.509995,213.449997,215.949997,214.577759,617700
2018-01-31,216.809998,218.000000,215.220001,216.850006,215.472031,699300
2018-02-01,215.699997,219.520004,215.699997,218.669998,217.280457,687000
2018-02-02,217.130005,218.880005,214.110001,214.380005,213.017731,784300
2018-02-05,210.389999,215.380005,205.729996,208.020004,206.698151,946800
2018-02-06,202.149994,210.839996,200.509995,208.460007,207.135345,1396600
2018-02-07,207.830002,213.110001,207.679993,211.309998,209.967224,884500
2018-02-08,210.649994,210.750000,198.509995,198.570007,197.308212,1450000
2018-02-09,200.279999,207.550003,199.000000,206.089996,204.780396,1228400
2018-02-12,208.410004,212.740005,206.020004,211.869995,210.523666,942800
2018-02-13,211.059998,212.940002,203.399994,208.000000,206.678253,1277900
2018-02-14,206.500000,210.770004,205.509995,209.779999,208.446960,918300
2018-02-15,212.300003,219.729996,212.080002,217.699997,216.316620,1399000
2018-02-16,218.000000,221.899994,214.479996,220.740005,219.337326,1396400
2018-02-20,215.500000,227.100006,208.220001,221.490005,220.082550,4770100
2018-02-21,222.149994,236.000000,221.759995,230.529999,229.065094,3409700
2018-02-22,230.000000,230.250000,224.199997,227.000000,225.557526,1791200
2018-02-23,227.979996,229.250000,225.020004,228.850006,227.395782,1014800
2018-02-26,230.710007,231.039993,227.460007,228.020004,226.571045,980800
2018-02-27,228.979996,230.990005,226.100006,226.470001,225.030899,634200
2018-02-28,226.210007,228.240005,222.289993,222.410004,220.996704,918500
2018-03-01,222.000000,225.789993,219.289993,222.820007,221.404099,898900
2018-03-02,220.690002,224.160004,219.559998,223.100006,221.682327,873200
2018-03-05,222.360001,222.360001,218.000000,219.610001,218.214493,930100
2018-03-06,223.500000,223.809998,218.600006,221.440002,220.032867,965300
2018-03-07,222.929993,223.729996,220.309998,222.960007,221.543213,754800
2018-03-08,223.809998,226.630005,221.809998,222.779999,221.364349,581100
2018-03-09,224.389999,230.449997,222.770004,230.259995,228.796799,656800
2018-03-12,230.500000,232.490005,227.550003,227.690002,226.243149,855300
2018-03-13,228.210007,229.929993,225.779999,226.399994,224.961334,675300
2018-03-14,225.669998,228.389999,224.289993,226.660004,225.768158,394000
2018-03-15,227.369995,228.270004,226.089996,226.820007,225.927536,808500
2018-03-16,227.490005,232.020004,227.449997,229.789993,228.885818,904400
2018-03-19,228.800003,230.279999,226.899994,227.669998,226.774185,636200
2018-03-20,228.000000,232.880005,227.509995,231.589996,230.678741,574200
2018-03-21,231.449997,232.360001,227.740005,228.259995,227.361847,512800
2018-03-22,227.429993,231.559998,226.339996,226.399994,225.509171,915900
2018-03-23,227.210007,231.130005,225.940002,226.649994,225.758179,799100
2018-03-26,228.600006,231.839996,226.229996,231.279999,230.369980,632500
2018-03-27,232.000000,233.779999,229.470001,231.580002,230.668793,795100
2018-03-28,231.990005,234.419998,231.279999,233.869995,232.949783,738500
2018-03-29,234.559998,235.869995,232.360001,233.559998,232.641006,963800
2018-04-02,233.289993,236.929993,228.589996,230.419998,229.513351,733600
2018-04-03,231.910004,234.449997,230.130005,233.470001,232.551346,539000
2018-04-04,225.699997,232.020004,225.250000,231.449997,230.539307,1026200
2018-04-05,233.270004,236.240005,232.320007,235.789993,234.862228,610900
2018-04-06,233.690002,235.729996,230.229996,231.460007,230.549271,658200
2018-04-09,232.679993,235.199997,231.899994,232.429993,231.515442,380200
2018-04-10,234.020004,234.669998,230.860001,231.699997,230.788330,438200
2018-04-11,230.789993,232.800003,229.690002,231.000000,230.091080,326700
2018-04-12,232.089996,234.619995,231.330002,231.479996,230.569183,398700
2018-04-13,232.380005,233.279999,229.669998,230.320007,229.413757,528600
2018-04-16,231.059998,234.830002,230.529999,232.350006,231.435776,353400
2018-04-17,234.630005,238.919998,234.300003,237.160004,236.226837,414100
2018-04-18,237.369995,239.210007,236.539993,238.190002,237.252792,399600
2018-04-19,237.750000,241.410004,236.889999,240.690002,239.742950,401500
2018-04-20,239.550003,241.089996,238.210007,238.929993,237.989868,487700
2018-04-23,239.619995,243.809998,238.440002,239.479996,238.537704,657100
2018-04-24,240.369995,240.440002,229.179993,231.820007,230.907852,891600
2018-04-25,232.300003,235.210007,230.690002,233.529999,232.611130,845200
2018-04-26,249.550003,255.000000,246.000000,250.610001,249.623917,1709100
2018-04-27,251.979996,252.800003,247.149994,248.419998,247.442535,987700
2018-04-30,250.000000,250.000000,241.710007,241.729996,240.778854,841400
2018-05-01,242.149994,248.830002,241.059998,247.679993,246.705429,645700
2018-05-02,246.740005,246.979996,243.389999,244.279999,243.318817,521500
2018-05-03,243.089996,246.369995,241.460007,245.830002,244.862732,552500
2018-05-04,245.419998,249.199997,244.470001,248.240005,247.263245,307500
2018-05-07,249.529999,251.000000,248.669998,250.500000,249.514359,565900
2018-05-08,249.809998,250.630005,248.000000,250.410004,249.424713,627600
2018-05-09,249.500000,250.360001,245.259995,249.910004,248.926666,543100
2018-05-10,250.500000,252.139999,249.460007,249.720001,248.737411,572900
2018-05-11,249.880005,251.119995,247.889999,249.910004,248.926666,325700
2018-05-14,249.619995,249.710007,245.619995,246.139999,245.171509,414600
2018-05-15,247.059998,247.660004,242.809998,247.100006,246.127731,423900
2018-05-16,246.490005,249.809998,246.490005,247.339996,246.366776,389900
2018-05-17,246.080002,248.690002,246.000000,246.550003,245.579895,335900
2018-05-18,247.289993,247.990005,243.250000,244.860001,243.896545,697900
2018-05-21,245.399994,249.279999,244.820007,248.369995,247.392715,536300
2018-05-22,249.240005,249.520004,246.710007,248.210007,247.233353,318400
2018-05-23,248.000000,250.259995,247.729996,249.490005,248.508331,520500
2018-05-24,249.940002,253.889999,249.720001,252.240005,251.247498,519100
2018-05-25,251.800003,254.220001,250.070007,250.339996,249.354980,283600
2018-05-29,249.460007,249.460007,243.179993,245.800003,244.832840,673900
2018-05-30,247.500000,253.669998,246.929993,251.699997,250.709625,586800
2018-05-31,251.119995,252.559998,249.130005,251.479996,250.490494,579600
2018-06-01,253.419998,257.429993,252.610001,252.850006,251.855103,557400
2018-06-04,252.809998,256.000000,252.600006,255.389999,254.385101,488200
2018-06-05,255.100006,263.250000,255.009995,262.630005,261.596619,805200
2018-06-06,263.970001,269.820007,263.600006,269.630005,268.569092,817900
2018-06-07,270.220001,273.570007,267.709991,272.040009,270.969604,889400
2018-06-08,264.339996,271.660004,263.059998,270.040009,268.977478,670900
2018-06-11,269.500000,270.720001,268.029999,269.769989,268.708496,453300
2018-06-12,269.570007,273.619995,268.679993,273.200012,272.125031,551100
2018-06-13,273.299988,276.119995,272.869995,273.579987,272.503510,478400
2018-06-14,274.410004,274.410004,270.640015,273.649994,273.122345,538700
2018-06-15,273.809998,277.359985,270.850006,277.339996,276.805237,559300
2018-06-18,277.179993,283.209991,275.380005,281.730011,281.186768,509100
2018-06-19,281.730011,288.040009,280.290009,287.390015,286.835876,674200
2018-06-20,290.019989,290.019989,285.690002,287.899994,287.344849,587200
2018-06-21,289.209991,292.670013,286.010010,290.760010,290.199371,775600
2018-06-22,293.679993,293.809998,289.339996,292.390015,291.826233,519700
2018-06-25,292.230011,293.489990,276.549988,279.510010,278.971069,1182100
2018-06-26,281.970001,286.170013,278.559998,283.109985,282.564087,1211000
2018-06-27,283.649994,285.160004,279.649994,281.470001,280.927277,516600
2018-06-28,279.899994,283.369995,279.200012,282.089996,281.546082,324900
2018-06-29,284.040009,284.369995,280.179993,282.170013,281.625916,318300
2018-07-02,278.640015,281.380005,276.549988,281.000000,280.458160,496100
2018-07-03,282.730011,283.239990,278.730011,280.130005,279.589844,202500
2018-07-05,280.700012,281.859985,274.630005,277.739990,277.204437,534500
2018-07-06,278.950012,280.890015,278.369995,279.149994,278.611725,482000
2018-07-09,282.000000,282.200012,277.660004,278.269989,277.733429,529200
2018-07-10,278.480011,280.600006,271.790009,272.390015,271.864777,648800
2018-07-11,271.399994,280.730011,271.399994,279.660004,279.120758,784000
2018-07-12,280.649994,280.649994,277.859985,279.029999,278.491974,345400
2018-07-13,279.209991,283.339996,278.920013,281.399994,280.857391,456200
2018-07-16,281.970001,283.690002,278.119995,279.190002,278.651672,354000
2018-07-17,278.519989,282.899994,277.630005,282.040009,281.496185,844500
2018-07-18,282.040009,284.880005,280.170013,283.679993,283.132996,1079800
2018-07-19,275.000000,284.769989,272.899994,276.750000,276.216370,1970200
2018-07-20,275.000000,282.480011,275.000000,277.170013,276.635559,586600
2018-07-23,276.769989,276.799988,271.200012,271.750000,271.226013,690400
2018-07-24,271.559998,271.559998,262.029999,263.070007,262.562744,913300
2018-07-25,263.339996,266.140015,261.059998,262.200012,261.694427,632100
2018-07-26,261.910004,263.059998,259.649994,260.000000,259.498657,504900
2018-07-27,262.869995,263.109985,259.790009,260.700012,260.197327,694200
2018-07-30,260.190002,261.570007,255.970001,256.410004,255.915588,702300
2018-07-31,255.000000,263.079987,253.639999,262.660004,262.153534,682800
2018-08-01,263.500000,270.739990,262.829987,270.339996,269.818726,986600
2018-08-02,269.600006,277.679993,269.600006,276.750000,276.216370,982200
2018-08-03,277.500000,279.869995,273.910004,279.500000,278.961060,613800
2018-08-06,279.470001,282.459991,277.549988,280.140015,279.599854,483400
